날짜,출처,제목,본문 요약 ,URL
2018.01.01.,헤드라인제주,"[전문] 위성곤 국회의원, 2018년 신년사",또한 도민들의 노력으로 지난해 우리는 제주사회 최대 현안이던 강정마을 구상권 철회를 이뤄냈습니다. 이를 계기로 갈등이 아닌 평화의 강정 공동체로 다시 일어 설 수 있도록 함께 힘을 모아야 합니다. 지난...,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=323242
2018.01.01.,제민일보,[제주4.3 70주년] 가려진 어둠의 역사 밝히는 한축 되다,"제주4.3평화공원. '화해와 상생, 평화와 인권'의 가치를 대표하는 제주4·3. 반세기 이상 금기의 영역에 갇혀... 통해 갈등의 소지를 근본적으로 제거하기 위한 '유네스코 세계기록유산 등재사업'도 추진하기로 했다....",http://www.jemin.com/news/articleView.html?idxno=488707
2018.01.01.,이데일리,"무술년 유통업계…이미경·이부진, 재계 여걸 활약 기대","사드(THAAD·고고도 미사일 방어체계) 배치 갈등에서 비롯된 중국의 ‘경제 보복’, ‘살충제 계란’ 파동... 이 사장은 또 국내에서는 업계 1위 롯데면세점을 제치고 제주국제공항 면세점 운영권을 획득하며 다시 한 번...",http://www.edaily.co.kr/news/newspath.asp?newsid=01318566619073456
2018.01.01.,이데일리,[6.13 지방선거]②'이대로 싹쓸이' 與 vs. 판흔들기 노리는 野,"현재 친박으로 분류되는 서병수 시장의 낮은 지지율, 홍준표 대표와의 갈등도 여권에겐 유리하다.... 6번의 선거에서 3번의 무소속 당선자를 낸 제주도에선 바른정당의 원희룡 제주지사가 무소속으로 출마할 지 관심이다....",http://www.edaily.co.kr/news/newspath.asp?newsid=01374326619073456
2018.01.01.,뉴스1,[6·13지선:제주]여야 후보들 도전 속 원희룡 거취 주목,"이번 선거는 원희룡 도정 평가와 함께 제주4·3문제 완전한 해결, 제2공항 및 강정 해군기지 갈등 해소 등 도내 핵심 현안들에 후보들이 어떤 해법을 내놓을지가 당락을 좌우할 변수가 될 전망이다. 지난 도지사 선거에서...",http://news1.kr/articles/?3194766
2018.01.01.,아시아경제,호텔의 요우커 귀환 체감 온도는 아직도 영하권,호텔업계는 고고도미사일방어체계(THAADㆍ사드) 갈등의 그림자가 중국 명절과 평창동계올림픽 개최전까지는... 신라호텔 관계자 역시 “서울과 제주 호텔의 요우커 의존도는 많이 낮은 상황이고 제한적 금한령 해제...,http://www.asiae.co.kr/news/view.htm?idxno=2017122914144308581
2018.01.01.,뉴시스,<오늘의 조간 정치뉴스>1월1일(월),"정치 갈등에 … 국민 52%, 인위적 정계개편에 부정적 [세계일보 신년 여론조사] 65.1% ""靑 집무실 이전 동감... 강원·제주] 평창동계올림픽 성공 여부가 최대 변수 [6·13 지방선거 누가 뛰나 - 부산·울산·경남] 여야 모두...",http://www.newsis.com/view/?id=NISX20180101_0000191288&cID=10301&pID=10300
2018.01.01.,미디어제주,[원희룡 지사 제주도인터넷기자협회 신년대담 전문],"▲강정마을 구상권을 정부가 철회하면서 일단 갈등 해결의 단초가 마련됐다. 제주도가 앞으로 공동체 회복을 위해 내세울 정책이나 복안을 설명해 달라. =우선 구상권 철회도 (마을공동체)원상회복 중 하나고, 사면복권도...",http://www.mediajeju.com/news/articleView.html?idxno=302137
2018.01.01.,헤드라인제주,"""교육중심 학교시스템 구축...4.3 평화인권교육 확대""","▲ 와 신년대담을 갖고 있는 이석문 제주특별자치도교육감. ⓒ헤드라인제주 이석문 제주특별자치도교육감은... 임기 중 비정규직 노조 및 교육청 소속 공무원노조 등과 갈등도 적지 않았다는 지적에 대해서는, ""갈등이라고...",http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=323297
2018.01.01.,헤드라인제주,원희룡 제주특별자치도지사 신년대담 일문일답 요지,"제주 제2공항과 관련한 갈등문제가 심화되고 있다. 국토부는 기본계획과 동시에 사전타당성 검증을 동시에 발주하겠다고 발표하면서 성산읍반대위가 더 강하게 반발하고 있는데, 지사의 입장은. -물론 반대하는 분들의...",http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=323295
2018.01.01.,헤드라인제주,이석문 제주특별자치도교육감 신년대담 일문일답 요지,▲ 와 신년대담을 갖고 있는 이석문 제주특별자치도교육감. ⓒ헤드라인제주 이석문 제주특별자치도교육감은... 임기 중 비정규직 노조 및 교육청 소속 공무원노조 등과 갈등도 적지 않았는데 이에 대해 소회해 보신다면?...,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=323298
2018.01.01.,헤드라인제주,"""도심교통난 해소 '환승센터' 추진...영리병원 문제, 정부와 협의""","◆ ""제2공항 합의 '분리발주'였지...합의 안된것 강요 느낌"" 대립갈등이 갈수록 심각해지고 있는 제주 제2공항 문제와 관련해서는, 국토부의 이번 기본계획 수립 용역 발주는 불가피한 최선의 선택이었다는 점을 강조했다....",http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=323294
2018.01.01.,제주의소리,"원희룡 ""보수혁신은 저의 방향성, 통합-복당 부정적"" 제3의 길 가나?","먼저 원 지사는 취임 3년6개월 동안 성과에 대해 △난개발 방지 △SOC 등 기반시설 확충 △도민주도 경제 등을, 아쉬운 점에 대해 △인구와 관광객 증가로 인한 성장통 △그로 인한 갈등과 혼란 등을 꼽았다. 제주도인터넷신...",http://www.jejusori.net/?mod=news&act=articleView&idxno=198768
2018.01.01.,제주의소리,"원희룡 ""영리병원, 청와대-복지부와 협의하겠다""","철저히 검증하라고 해놓고 선거 뒤로 미루는거 아니냐고 하면 어쩌자는 건가"" -강정마을 구상권을 정부가 철회하면서 일단 갈등 해결의 단초가 마련됐다. 제주도가 앞으로 공동체 회복을 위해 내세울 정책이나 복안을...",http://www.jejusori.net/?mod=news&act=articleView&idxno=198771
2018.01.01.,시사제주,원희룡 지사가 말하는 제주도정 3대 성과 '난개발 방지' 그리고...,"6.강정마을 구상권을 정부가 철회하면서 일단 갈등 해결의 단초가 마련됐다. 제주도가 앞으로 공동체 회복을 위해 내세울 정책이나 복안을 설명해 달라. -우선 구상권 철회도 (마을공동체)원상회복 중 하나고, 사면복권도...",http://www.sisajeju.com/news/articleView.html?idxno=288694
2018.01.01.,뉴데일리,2018년은 정치의 해… 정계개편 격동 예고,"◇더불어민주당=일단 지방선거 전까지는 큰 갈등 요소 없이 평온한 나날을 유지할 것으로 전망된다.... 바른정당으로부터 남경필 경기도지사나 원희룡 제주도지사가 복당할 경우, 경기나 제주의 수성(守城)을 노리는 게...",http://www.newdaily.co.kr/news/article.html?no=364935
2018.01.01.,한겨레,안방극장 ‘이름값’ 전쟁 후끈· 전시장 대가들 회고전 봇물,3대 비엔날레는 지난해 내부 갈등으로 운영진이 물갈이되거나 기획 틀이 대폭 바뀌어 올가을 어떤 변화를... 또 연말 예정된 국립중앙박물관의 대고려전에 앞서 국립대구박물관의 ‘삼국유사’전과 국립제주박물관의...,http://www.hani.co.kr/arti/culture/culture_general/825795.html
