날짜,출처,제목,본문 요약 ,URL
11시간,제주의소리,"장성철 ""정체된 제주, 실용주의 혁신의 길 갈 것""","정상적으로 사업을 추진하면서 그에 따른 갈등을 최소화하는 일에 도정역량과 도민의 지혜가 모아져야 한다""고 강조했다. 당내 경쟁 후보인 고경실 전 제주시장에 대해서는 ""제2공항과 관련한 입장이 여러 번 바뀌었다....",http://www.jejusori.net/news/articleView.html?idxno=312330
4일,뉴스1,"제주 제2공항 갈등 해소 '난망'…""사실 확인이 출발점""",사단법인 한국갈등학회는 20일 제주도의회 대회의실에서 제주도의회 제2공항 건설 갈등 해소를 위한 특별위원회(도의회 제2공항 갈등해소특위) 의뢰로 수행 중인 '제주 제2공항 관련 갈등영향분석 용역' 추진상황을...,http://news1.kr/articles/?3848245
4시간,제주신보,제주 학원·교습소 24% 휴원 동참...방역 지원 없어 한숨도,간 갈등도 우려되고 있다. 특히 학생들이 학교보다 더 비좁은 공간인 학원과 교습소에 머물면 집단 감염 가능성이 더 높아질 수 있지만 관리·감독 주체인 제주도교육청은 방역 지원에 손을 놓고 있어 원성을 사고 있다....,http://www.jejunews.com/news/articleView.html?idxno=2157807
5시간,한라일보,민주당 제주시갑 송재호 전략공천 확정 후폭풍,4·15총선을 50일 앞둔 가운데 더불어민주당의 당내 갈등 조율 능력이 제주시갑 선거구 총선 승리의 관건이 될 것으로 보인다. 일찌감치 예비후보로 등록해 선거운동을 펼쳐온 더불어민주당 박희수 예비후보는 이날...,http://www.ihalla.com/read.php3?aid=1582531805675703073
2시간,나무신문,"건축전시회 코리아빌드, 코로나19 갈등 '심각 단계'","국내 최대 건축 전시회 코리아빌드가 코로나19로 인한 참가업체와 주최사 간의 갈등이 커지고 있다.... 돼 제주도를 포함한 국내 전 지역으로 코로나19가 확산되는 분수령이 될 수도 있다""고 경고하고 있다. 이처럼...",http://www.imwood.co.kr/news/articleView.html?idxno=24137
4일,제주신보,"""제주를 생각하고, 제주를 변화시킬 수 있는 사람""","지금까지 제2공항과 관련해, 당정협의를 통해 도민의견 수렴을 위한 검토위원회 활동을 2개월 연장시키고, 제주도의회의 갈등해소특위 구성 갈등 때도 상무위원회 개최를 통해 원만한 합의를 이끌어 왔다. 그 결과...",http://www.jejunews.com/news/articleView.html?idxno=2157555
1일,제주일보,"""제주형 기초자치단체 도입…시민과 함께하는 정치 이룰 것""","또 제주도의회 제주 제2공항 건설 갈등 해소 특별위원회 구성 갈등 때도 상무위원회 개최를 통해 원만한 합의를 이끌어 왔다""고 말했다. 오 예비후보는 ""그 결과 갈등해소 특위 활동에 반대를 표했던 원희룡 제주도지사가...",http://www.jejuilbo.net/news/articleView.html?idxno=139961
1일,제주신보,갈등공화국,"검증을 무시하고 대통령의 결단만으로 자격이 미흡한 사람을 장관으로 임명하다 보니 국민에게 갈등을 안겨주고 있다. 지난해 말, 국토부 산하 국가공기업인 제주국제자유도시개발센터(JDC)가 공공임대주택 입주자모집을...",http://www.jejunews.com/news/articleView.html?idxno=2157637
1일,스포츠서울,"원희룡 제주지사, 대구-제주 항공노선 운항 일시 중단 계획 철회...""대구 시민에게 송구""",추진했던 제주-대구 노선 항공편 일시 중단 방침에 대해 철회했다. 대구 시민들을 비롯한 많은 이들이 이 같은 조치가 지역 갈등을 초래한다고 비난한 것에 따른 조치로 보인다. 원 지사는 22일 오후 자신의 페이스북에...,http://www.sportsseoul.com/news/read/886828
1일,제주일보,4선 강창일 마지막 대정부질문…제주현안 어떻게 할까?,한일의원연맹 회장을 통해 한일간 의원외교를 이끌어온 강 의원은 이와함께 한일갈등 물꼬를 트기 위한 강제동원문제의 우리 정부 입장과 한일갈등 해결을 위한 정부 입장도 물을 것으로 보인다. 더불어 제주지역 최대...,http://www.jejuilbo.net/news/articleView.html?idxno=139945
5일,뉴스제주,"""제주 제2공항 사업, 도내 균형 발전 초석""","이어 ""(제2공항 문제는) 기득권을 가지고 있는 제주시민들은 반대를, 상대적으로 낙후한 서귀포 주민들은 찬성을 하고 있다""면서 ""제주도의회 역시 '갈등해소위원회'를 결성, 또 다른 도민 갈등을 조장하고 있다""는 소견을...",http://www.newsjeju.net/news/articleView.html?idxno=340086
11시간,한라일보,민주당 제주시갑 송재호 전략공천.. 파열음 어떻게 풀까,당초 경선과 전략공천 두 가지 선택지를 두고 고민을 이어오던 민주당이 제주시갑을 최종 전략공천으로 결정함에 따라 해당지역 예비후보들의 반발이 예상된다. 총선을 앞두고 민주당 당내 갈등 조율이 총선 승리의...,http://www.ihalla.com/read.php3?aid=1582510014675646073
1일,제주신보,내우외환에 직면한 제주관광의 위기,특이 2015년 메르스 사태와 사드 배치 문제로 한·중 갈등이 최고조에 달했던 2017년 당시 중국인 관광객의 빈자리를 국내 관광객이 너끈히 채워줬을지 모르나 여러 정황에 비추어 내국인마저 제주관광을 포기하는 사태가...,http://www.jejunews.com/news/articleView.html?idxno=2157647
2020.02.14.,뉴스1,제주 제2공항 갈등 해소 첫 '3자 회동'…합의 이뤄질까,"도의회 제2공항 특위는 이 자리에서 '제주 제2공항 건설 갈등 해소 방안 연구조사 용역' 진행 상황을 공유하는 한편, 국토부에 이르면 이달 말 개최하는 것으로 도와 논의 중인 제2공항 관련 토론회에 대한 적극적인 협조를...",http://news1.kr/articles/?3843078
3일,캠퍼스잡앤조이,"붉게 핀 동백꽃을 가진 아름답고 슬픈 섬, 제주도",미 군정 경찰은 이런 제주도를 ‘붉은 섬’으로 규정하고 억압하였고 미 군정 경찰과 제주도민의 갈등이 심화됐다. 또한 제주도민들은 남쪽만의 단독 선거인 5·10선거를 반대하며 무장투쟁을 선언했다. 미 군정...,http://www.jobnjoy.com/portal/joy/correspondent_view.jsp?nidx=389733&depth1=2&depth2=1&depth3=1
6일,미디어제주,"제주도의회, 제2공항 갈등 영향분석 용역 설명회 개최",제주 제2공항 건설 갈등 해소를 위한 갈등영향분석 용역 추진상황 설명회가 오는 20일 오후 3시부터 제주도의회 의원회관 대회의실에서 열린다. 제주특별자치도의회 제2공항 건설 갈등 해소를 위한 특별위원회(위원장...,http://www.mediajeju.com/news/articleView.html?idxno=321483
3일,YTN,"2월21일 헬마우스 픽!뉴스, 대구경북 코로나/ 크루즈선 의료진 폭로 / 투표용지 순서갈등",◇ 노영희: 제주도 해군이죠. 놀러 나왔다가 휴가 나왔다가 돌아갔는데 그때 하필이면 대구를 방문해서 간 것... 현재 미래통합당의 위성정당인 미래한국당하고 비례대표 투표용지 순서를 둘러싸고 갈등이 있는데. 박주선...,https://www.ytn.co.kr/_ln/0101_202002210740509200
3일,제주MBC,"제2공항 갈등, 토론회.숙의형 공론화 제안","◀ＥＮＤ▶ ◀ＶＣＲ▶ 제2공항 갈등영향분석 용역을 맡은 한국갈등학회는 제주도와 국토부, 범도민추진협의회, 비상도민회의 관계자, 전문가 등을 면담했습니다. 갈등 당사자들은 제주지역 공항 인프라 확충과 오해나...",https://jejumbc.com/article/tBUvxgaFiFcE3X4
4일,뉴시스,[오늘의 주요일정]제주(2월20일 목요일),"제주지법 201호 법정 ▲오후 3시 제주도의회 제2공항 건설 갈등 해소를 위한 특별위원회 ‘갈등영향분석 용역 추진 상황 설명회’ 개최, 도의회 대회의실 ▲오후 3시 전국 시·도관광협회장 초청 정책간담회, 메종글래드",http://www.newsis.com/view/?id=NISX20200219_0000924873&cID=10813&pID=10800
5일,제주신보,"제2공항 특위, 20일 갈등영향분석 용역 추진상황 설명회",이번 설명회에서는 먼저 용역 수행사인 사단법인 한국갈등학회 이강원 부회장으로부터 '제주 제2공항 관련 갈등영향분석 용역' 추진상황에 대한 설명을 들은 후 특별위원회 강성의 위원의 진행으로 방청객 의견 수렴과...,http://www.jejunews.com/news/articleView.html?idxno=2157414
7일,국민일보,"제주도, 생활쓰레기 태워 2만5000가구 쓸 전력 만든다",주민과의 갈등이 반복됐다. 이번에 들어선 제주환경자원순환센터(제주시 구좌읍 동복리)는 1일 500t의 쓰레기를 소각하면서 이때 발생하는 폐열을 이용해 시설용량 19.2MW 규모의 기력터빈발전기를 가동하도록 설계됐다....,http://news.kmib.co.kr/article/view.asp?arcid=0014247612&code=61122027&cp=nv
2020.02.16.,제주의소리,제주 원명사 철거 갈등 '극적타협'...문화공간 조성된다,"지리한 갈등은 제주지방법원이 양 측의 조정을 권고했고, 이를 받아들이며 해결의 실마리를 잡았다. 원명선원의 3층 규모 법당 건물이 지어지는 시점과 맞물려 제주시를 상대로 제기한 소송은 지난해 7월19일자로...",http://www.jejusori.net/news/articleView.html?idxno=311953
3일,시사포커스,[기획] 공천 갈등·합종연횡·코로나19…쏟아지는 총선 변수,"당내 갈등에 대해서도 빠르게 수습하고 있는데, 갑자기 지역사회 감염 수준으로 확산된 코로나19 감염병... 확인된 지역도 단지 대구·경북에만 한정된 게 아니라 호남부터 제주까지 사실상 전국적으로 전염병이 확산된...",http://www.sisafocus.co.kr/news/articleView.html?idxno=232895
2020.02.12.,파이낸셜뉴스,"한국GM, 제주부품사업소 폐쇄 노사갈등…외주화 추진",한국지엠(GM)이 최근 창원·제주 부품물류센터를 폐쇄하겠다는 의사를 밝힌 가운데 금속노조 한국지엠지부 정비부품지회가 12일 오후 제주시 화북공단 내 쉐보레 제주서비스센터에서 도내 부품·정비 협력업체 관계자들과...,http://www.fnnews.com/news/202002122253237437
,조선비즈언론사,"오리온, 제주도와 제주용암수 갈등 봉합…국내 마트 판매 안해",제주용암수의 국내 판매를 놓고 빚어진 제주도와 오리온(271560)의 갈등이 봉합됐다. 오리온은 제주특별자치도청과 ‘제주용암수’의 국내 판매에 대한 협상이 마무리됐다고 30일 밝혔다. 오리온은 당초 제주용암수의...,https://biz.chosun.com/site/data/html_dir/2020/01/30/2020013003117.html?utm_source=naver&utm_medium=original&utm_campaign=biz
5일,제주의소리,"김효 ""현재 제주공항 확장도 대안으로 고려해야""","김 예비후보는 ""관광 분야 연구자로서 제주 제2공항을 과거의 유사한 공항 건설 사례에 비춰 볼 때 우리의 추진 환경이 더욱 어려운 상태""이라며 ""지역주민 간 찬반 갈등이 첨예하게 계속되고 있는 상황이자 현재 제주의...",http://www.jejusori.net/news/articleView.html?idxno=312139
2020.02.16.,제주도민일보,"제주시 화북 원명사, 문화공간으로 재탄생","고희범 제주시장은 ""장기간 갈등이 발생한 만큼 부서간 협업을 통해 해결해 달라""며 ""보고회시 지적사항들을 면밀히 검토해 활용방안 마련에 최선을 다해 달라""고 당부했다. 한편 제주시는 활용방안 프로젝트가 완료되면...",http://www.jejudomin.co.kr/news/articleView.html?idxno=120730
7일,제주의소리,"김효 ""제주 제2공항은 도민이 원하는 방향으로""","제2공항 찬반을 떠나 제2공항이나 제주공항 확장 등 도민이 선호하는 방향으로 빠른 결정을 내려 갈등 상황을 매듭짓는 것이 공항 인프라 확장에 대한 희망의 불씨를 살릴 수 있을 것""이라고 주장했다.",http://www.jejusori.net/news/articleView.html?idxno=312024
,헤럴드경제언론사,한국지엠 창원·제주 부품물류센터 폐쇄 갈등…임단협 잡음 커지나,한국지엠(GM)이 지난 4일 금속노조 한국지엠지부 정비부품지회에 창원·제주 부품물류센터를 폐쇄하겠다는... 하지만 업계는 부품물류센터 갈등이 임단협의 변수로 작용할 것으로 예상하고 있다. 비정규직 외 정규...,http://news.heraldcorp.com/view.php?ud=20200211000735
,동아일보언론사,미래통합당 지도부-공관위 구성 갈등… 시민단체측 전원 탈퇴,원희룡 제주지사와 새로운보수당 이준석 젊은정당비전위원장 등 4명을 추가하기로 했다. 신당 지도부가... 갈등 확산 조짐에 박 위원장은 “회의에서 그분들의 참여를 넓혀 나가는 데 공감했다”며 “계속 접촉하면서...,http://www.donga.com/news/article/all/20200215/99697672/1
8면1단,문화일보,"與, 선대위 출범… ‘공천 갈등·코로나 악재’ 극복이 과제","신종 코로나바이러스 감염증(COVID-19) 확산, 공천 갈등 등 악재가 이어지는 상황에서 선대위 출범이 분위기... (경남·울산)·강창일(제주) 공동선대위원장이 각각 총괄한다. 이광재 공동선대위원장은 이날 기자들과 만나...",http://www.munhwa.com/news/view.html?no=2020022001070830319001
,한국경제언론사,[천자 칼럼] 제주살이 꿈과 현실,이주민 대부분이 꿈꿔온 ‘자연 속에서 누리는 여유로운 삶’이 점차 어려워지면서 제주의 매력이 반감되고 있다는 얘기다. 현지 주민과의 갈등도 무시 못 할 요인이다. 섬 특유의 배타성이 있는 데다 고령까지도 농업...,https://www.hankyung.com/opinion/article/202002171452i
